,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20"
"15001",33,34,34,35,35,35,35,37,36
"15003",10,10,10,10,10,10,10,10,10
"15004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15005",8,8,8,8,8,8,8,9,9
"15006",NA,NA,NA,0,NA,NA,0,0,0
"15007",0,0,0,0,0,0,0,0,0
"15009",186,202,223,228,248,248,252,258,276
"15010",23,23,23,23,24,24,24,25,26
"15012",5,5,5,5,5,5,5,5,5
"15014",NA,NA,NA,5,5,5,5,5,5
"15015",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15017",6,6,6,6,6,6,6,6,6
"15018",0,0,0,0,0,0,0,0,0
"15019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15020",NA,NA,NA,0,NA,NA,NA,NA,NA
"15021",0,0,0,0,0,0,0,0,0
"15022",13,15,15,15,19,20,20,20,20
"15024",7,7,7,7,7,7,7,7,7
"15025",18,19,20,20,21,21,21,22,22
"15026",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15028",NA,NA,NA,0,NA,NA,NA,NA,NA
"15030",0,0,0,0,0,0,0,0,0
"15031",0,0,0,0,0,0,0,0,0
"15032",0,0,0,0,0,0,0,0,0
"15033",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15034",0,0,0,0,0,0,0,0,0
"15035",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15037",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15038",NA,NA,NA,0,NA,NA,0,0,0
"15042",NA,NA,5,5,5,5,5,5,5
"15043",0,0,0,0,0,0,0,0,0
"15044",75,75,79,79,84,83,87,89,91
"15045",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15046",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15047",NA,NA,NA,0,NA,NA,0,0,0
"15049",0,0,0,0,0,0,0,0,0
"15050",NA,NA,NA,5,5,5,5,5,5
"15051",0,0,0,0,0,0,0,0,0
"15052",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15053",0,0,0,0,0,0,0,0,0
"15054",0,0,0,0,0,0,0,0,0
"15055",0,0,0,0,0,0,0,0,0
"15056",0,0,0,0,0,0,0,0,0
"15057",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15059",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15060",0,0,0,0,0,0,0,0,0
"15061",12,12,12,12,12,12,12,12,13
"15062",6,6,6,6,6,6,6,6,6
"15063",6,7,8,8,8,8,8,8,8
"15064",0,0,0,0,0,0,0,0,0
"15065",15,15,15,15,15,15,16,16,16
"15066",5,5,5,5,5,5,5,5,5
"15067",0,0,0,0,0,0,0,0,0
"15068",37,38,39,39,39,41,41,41,44
"15071",5,5,5,5,5,5,5,5,6
"15072",NA,NA,NA,0,NA,NA,NA,NA,NA
"15074",11,11,11,11,11,11,11,12,14
"15075",NA,NA,NA,0,NA,NA,0,0,0
"15076",0,0,0,0,0,0,0,0,0
"15077",0,0,0,0,0,0,0,0,0
"15078",0,0,0,0,0,0,0,0,0
"15081",NA,NA,NA,0,NA,NA,NA,NA,NA
"15082",0,0,0,0,0,0,0,0,0
"15083",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15084",5,5,5,5,5,5,5,5,5
"15085",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15086",0,0,0,0,0,0,0,0,0
"15087",NA,NA,NA,0,NA,NA,NA,NA,NA
"15088",NA,NA,NA,0,NA,NA,0,0,0
"15089",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15090",33,33,33,33,33,33,33,33,34
"15101",23,23,23,23,23,23,23,23,23
"15102",16,16,16,16,16,16,17,18,18
"15104",6,6,6,6,6,6,6,6,6
"15106",13,13,13,12,12,12,12,12,13
"15108",60,67,67,67,69,69,69,69,70
"15110",7,7,7,7,7,7,7,7,8
"15112",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15116",8,8,8,8,8,8,8,8,8
"15120",21,22,22,22,22,22,22,22,23
"15122",19,20,21,22,21,21,21,21,21
"15126",6,6,7,7,7,7,7,7,7
"15129",6,6,6,6,6,6,6,6,6
"15131",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15132",34,34,34,35,35,35,36,36,38
"15133",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15135",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15136",19,20,20,21,20,20,20,21,21
"15137",11,11,13,13,13,13,13,13,13
"15139",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15140",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15142",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15143",11,11,11,11,11,11,11,11,11
"15144",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15145",NA,NA,5,6,6,6,6,6,6
"15146",21,21,22,22,22,22,24,24,29
"15147",14,14,14,14,14,14,15,15,15
"15148",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15201",14,15,16,16,16,16,17,17,17
"15202",9,10,10,10,10,10,10,10,10
"15203",10,10,10,10,10,10,10,10,10
"15204",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15205",16,16,17,19,20,20,20,20,20
"15206",31,31,31,31,31,32,32,33,33
"15207",60,63,62,63,65,69,70,70,72
"15208",7,7,7,7,7,7,7,7,8
"15209",6,6,6,6,6,6,6,6,7
"15210",23,23,24,24,25,27,28,30,30
"15211",12,12,12,12,12,12,12,12,12
"15212",31,31,31,31,31,31,31,32,32
"15213",19,19,19,19,19,19,19,19,20
"15214",15,17,17,17,17,18,19,19,19
"15215",8,8,8,8,8,8,9,9,9
"15216",11,12,12,12,12,12,12,12,12
"15217",41,41,42,42,42,42,42,43,43
"15218",11,12,12,12,12,12,12,12,12
"15219",13,13,14,14,15,15,30,30,33
"15220",11,11,11,11,11,11,11,11,11
"15221",40,40,42,42,42,44,45,46,46
"15222",6,6,6,7,7,7,7,7,7
"15223",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15224",6,6,6,6,6,6,6,6,6
"15225",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15226",5,6,6,6,6,6,7,7,7
"15227",17,17,17,17,17,17,19,20,21
"15228",11,11,11,11,11,11,11,11,11
"15229",8,8,8,8,8,8,8,8,8
"15231",0,0,0,0,0,0,0,0,0
"15232",8,8,8,9,9,9,9,9,10
"15233",6,6,6,6,6,6,6,6,6
"15234",5,5,5,5,5,5,5,5,5
"15235",27,27,27,27,27,27,28,28,28
"15236",20,20,20,20,21,20,20,20,20
"15237",36,37,38,38,38,38,38,39,39
"15238",10,10,10,10,10,10,10,10,10
"15239",7,7,8,8,8,8,9,9,9
"15241",19,19,19,19,19,19,19,19,19
"15243",14,14,14,14,16,15,14,14,14
"15260",0,0,0,0,0,0,0,0,0
"15261",0,0,0,0,0,0,0,0,0
"15275",0,0,0,0,0,0,0,0,0
"15290",NA,NA,NA,0,NA,NA,NA,NA,NA
"15301",12,12,13,14,15,15,16,16,16
"15310",0,0,0,0,0,0,0,0,0
"15311",0,0,0,0,0,0,0,0,0
"15312",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15313",0,0,0,0,0,0,0,0,0
"15314",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15315",NA,NA,NA,0,NA,NA,0,0,0
"15316",NA,NA,NA,0,NA,NA,0,0,0
"15317",22,22,22,22,22,22,23,24,24
"15320",7,7,7,7,7,7,7,7,7
"15321",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15322",0,0,0,0,0,0,0,0,0
"15323",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15324",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15325",NA,NA,NA,0,NA,NA,0,0,0
"15327",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15329",0,0,0,0,0,0,0,0,0
"15330",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15331",0,0,0,0,0,0,0,0,0
"15332",5,5,5,5,5,6,6,6,6
"15333",0,0,0,0,0,0,0,0,0
"15334",0,0,0,0,0,0,0,0,0
"15337",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15338",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15340",0,0,0,0,0,0,0,0,0
"15341",0,0,0,0,0,0,0,0,0
"15342",6,6,6,6,6,6,6,6,6
"15344",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15345",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15346",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15347",0,0,0,0,0,0,0,0,0
"15348",NA,NA,NA,0,NA,NA,0,0,0
"15349",0,0,0,0,0,0,0,0,0
"15350",NA,NA,NA,0,NA,NA,NA,NA,NA
"15351",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15352",0,0,0,0,0,0,0,0,0
"15353",0,0,0,0,0,0,0,0,0
"15357",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15358",NA,NA,NA,NA,NA,NA,0,0,0
"15359",0,0,0,0,0,0,0,0,0
"15360",0,0,0,0,0,0,0,0,0
"15361",0,0,0,0,0,0,0,0,0
"15362",0,0,0,0,0,0,0,0,0
"15363",0,0,0,0,0,0,0,0,0
"15364",0,0,0,0,0,0,0,0,0
"15367",6,6,6,6,6,6,7,7,7
"15370",6,6,6,6,6,7,7,7,7
"15376",0,0,0,0,0,0,0,0,0
"15377",0,0,0,0,0,0,0,0,0
"15378",NA,NA,NA,NA,NA,NA,0,0,0
"15379",NA,NA,NA,NA,NA,NA,0,0,0
"15380",0,0,0,0,0,0,0,0,0
"15401",26,26,26,26,26,26,27,27,27
"15410",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15411",0,0,0,0,0,0,0,0,0
"15412",0,0,0,0,0,0,0,0,0
"15413",0,0,0,0,0,0,0,0,0
"15417",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15419",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15420",NA,NA,NA,NA,NA,NA,0,0,0
"15421",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15422",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15423",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15424",0,0,0,0,0,0,0,0,0
"15425",8,8,9,9,9,9,9,9,9
"15427",0,0,0,0,0,0,0,0,0
"15428",0,0,0,0,0,0,0,0,0
"15429",0,0,0,0,0,0,0,0,0
"15430",NA,NA,NA,NA,NA,NA,0,0,0
"15431",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15432",0,0,0,0,0,0,0,0,0
"15433",0,0,0,0,0,0,0,0,0
"15434",0,0,0,0,0,0,0,0,0
"15435",NA,NA,NA,NA,NA,NA,0,0,0
"15436",0,0,0,0,0,0,0,0,0
"15437",NA,NA,5,5,5,5,5,5,5
"15438",0,0,0,0,0,0,0,0,0
"15440",0,0,0,0,0,0,0,0,0
"15442",0,0,0,0,0,0,0,0,0
"15443",NA,NA,NA,NA,NA,NA,0,0,0
"15444",0,0,0,0,0,0,0,0,0
"15445",6,6,6,6,6,6,6,6,6
"15446",0,0,0,0,0,0,0,0,0
"15447",NA,NA,NA,NA,NA,NA,0,0,0
"15448",NA,NA,NA,NA,NA,NA,0,0,0
"15449",NA,NA,NA,NA,NA,NA,0,0,0
"15450",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15451",0,0,0,0,0,0,0,0,0
"15455",NA,NA,NA,NA,NA,NA,0,0,0
"15456",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15458",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15459",0,0,0,0,0,0,0,0,0
"15460",NA,NA,NA,NA,NA,NA,0,0,0
"15461",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15462",0,0,0,0,0,0,0,0,0
"15463",0,0,0,0,0,0,0,0,0
"15464",0,0,0,0,0,0,0,0,0
"15466",NA,NA,NA,NA,NA,NA,0,0,0
"15467",NA,NA,NA,NA,NA,NA,0,0,0
"15468",0,0,0,0,0,0,0,0,0
"15469",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15470",0,0,0,0,0,0,0,0,0
"15472",NA,NA,NA,NA,NA,NA,0,0,0
"15473",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15474",0,0,0,0,0,0,0,0,0
"15475",0,0,0,0,0,0,0,0,0
"15476",NA,NA,NA,NA,NA,NA,0,0,0
"15477",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15478",NA,NA,NA,NA,NA,NA,NA,NA,5
"15479",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15480",0,0,0,0,0,0,0,0,0
"15482",0,0,0,0,0,0,0,0,0
"15483",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15484",0,0,0,0,0,0,0,0,0
"15486",0,NA,NA,NA,NA,NA,NA,NA,NA
"15488",0,0,0,0,0,0,0,0,0
"15489",NA,NA,NA,NA,NA,NA,0,0,0
"15490",0,0,0,0,0,0,0,0,0
"15501",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15502",NA,NA,NA,NA,NA,NA,0,0,0
"15510",NA,NA,NA,NA,NA,NA,0,0,0
"15520",NA,NA,NA,NA,NA,NA,0,0,0
"15521",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15522",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15530",0,0,0,0,0,0,0,0,0
"15531",0,0,0,0,0,0,0,0,0
"15532",NA,NA,NA,NA,NA,NA,0,0,0
"15533",0,0,0,0,0,0,0,0,0
"15534",0,0,0,0,0,0,0,0,0
"15535",0,0,0,0,0,0,0,0,0
"15536",0,0,0,0,0,0,0,0,0
"15537",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15538",0,0,0,0,0,0,0,0,0
"15539",0,0,0,0,0,0,0,0,0
"15540",0,0,0,0,0,0,0,0,0
"15541",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15542",0,0,0,0,0,0,0,0,0
"15544",NA,NA,NA,NA,NA,NA,0,0,0
"15545",0,0,0,0,0,0,NA,NA,NA
"15546",0,0,0,0,0,0,0,0,0
"15547",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15550",0,0,0,0,0,0,0,0,0
"15551",0,0,0,0,0,0,0,0,0
"15552",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15554",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15555",0,0,0,0,0,0,0,0,0
"15557",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15558",0,0,0,0,0,0,0,0,0
"15559",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15560",NA,NA,NA,NA,NA,NA,0,0,0
"15561",NA,NA,NA,NA,NA,NA,0,0,0
"15562",0,0,0,0,0,0,0,0,0
"15563",0,NA,NA,NA,NA,NA,NA,NA,NA
"15564",0,0,0,0,0,0,0,0,0
"15601",41,44,47,49,49,52,51,51,52
"15610",5,6,6,6,6,6,6,6,6
"15611",0,0,0,0,0,0,0,0,0
"15612",0,0,0,0,0,0,0,0,0
"15613",6,8,9,10,10,10,11,11,11
"15615",0,0,0,0,0,0,0,0,0
"15616",0,0,0,0,0,0,0,0,0
"15617",0,0,0,0,0,0,0,0,0
"15618",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15620",0,0,0,0,0,0,0,0,0
"15622",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15623",0,0,0,0,0,0,0,0,0
"15625",NA,NA,NA,NA,NA,NA,0,0,0
"15626",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15627",7,7,11,13,13,13,13,14,14
"15628",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15629",NA,NA,NA,NA,NA,NA,0,0,0
"15631",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15632",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15633",NA,NA,NA,NA,NA,NA,0,0,0
"15634",0,0,0,0,0,0,0,0,0
"15635",NA,NA,NA,NA,NA,NA,0,0,0
"15636",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15637",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15638",NA,NA,NA,NA,NA,NA,0,0,0
"15639",0,0,0,0,0,0,0,0,0
"15640",NA,NA,NA,NA,NA,NA,0,0,0
"15641",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15642",19,20,20,23,23,24,26,27,27
"15644",10,10,11,11,11,11,11,13,13
"15646",0,0,0,0,0,0,0,0,0
"15647",0,0,0,0,0,0,0,0,0
"15650",68,70,74,75,78,78,78,80,81
"15655",0,0,0,0,0,0,0,0,0
"15656",12,13,40,44,44,44,44,45,45
"15658",19,21,21,21,21,21,21,21,21
"15660",NA,NA,NA,NA,NA,NA,0,0,0
"15661",0,0,0,0,0,0,0,0,0
"15662",NA,NA,NA,NA,NA,NA,0,0,0
"15663",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15665",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15666",14,15,15,15,15,15,15,15,15
"15668",7,7,7,8,8,8,9,9,9
"15670",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15671",0,0,0,0,0,0,0,0,0
"15672",0,0,0,0,0,0,0,0,0
"15673",0,0,0,0,0,0,0,0,0
"15675",0,0,0,0,0,0,0,0,0
"15676",NA,NA,NA,NA,NA,NA,NA,0,0
"15677",0,0,0,0,0,0,0,0,0
"15678",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15679",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15681",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15683",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15684",0,0,0,0,0,0,0,0,0
"15685",0,0,0,0,0,0,0,0,0
"15686",0,0,0,0,0,0,0,0,0
"15687",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15688",0,0,0,0,0,0,0,0,0
"15689",NA,NA,NA,NA,NA,NA,NA,0,0
"15690",5,5,5,5,5,5,5,5,6
"15692",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15697",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15698",0,0,0,0,0,0,0,0,0
"15701",18,19,19,19,19,19,19,19,19
"15705",0,0,0,0,0,0,0,0,0
"15711",0,0,0,0,0,0,0,0,0
"15713",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15714",0,0,0,0,0,0,0,0,0
"15716",0,0,0,0,0,0,0,0,0
"15717",17,17,18,18,18,18,18,18,18
"15720",0,0,0,0,0,0,0,0,0
"15721",0,0,0,0,0,0,0,0,0
"15722",0,0,0,0,0,0,0,0,0
"15724",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15725",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15728",0,0,0,0,0,0,0,0,0
"15729",0,0,0,0,0,0,0,0,0
"15730",0,0,0,0,0,0,0,0,0
"15732",0,0,0,0,0,0,0,0,0
"15739",0,0,0,0,0,0,0,0,0
"15742",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15744",0,0,0,0,0,0,0,0,0
"15747",0,0,0,0,0,0,0,0,0
"15748",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15750",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15753",0,0,0,0,0,0,0,0,0
"15757",0,0,0,0,0,0,0,0,0
"15758",0,0,0,0,0,0,0,0,0
"15759",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15760",0,0,0,0,0,0,0,0,0
"15762",0,0,0,0,0,0,0,0,0
"15763",0,0,0,0,0,0,0,0,0
"15764",0,0,0,0,0,0,0,0,0
"15765",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15767",0,0,0,0,0,0,0,0,0
"15770",0,0,0,0,0,0,0,0,0
"15771",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15772",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15773",0,0,0,0,0,0,0,0,0
"15774",6,7,7,7,7,7,7,7,7
"15775",0,0,0,0,0,0,0,0,0
"15776",0,0,0,0,0,0,0,0,0
"15777",0,0,0,0,0,0,0,0,0
"15778",0,0,0,0,0,0,0,0,0
"15780",0,0,0,0,0,0,0,0,0
"15784",0,0,0,0,0,0,0,0,0
"15801",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15821",0,0,0,0,0,0,0,0,0
"15823",0,0,0,0,0,0,0,0,0
"15824",0,0,0,0,0,0,0,0,0
"15825",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15827",0,0,0,0,0,0,0,0,0
"15828",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15829",0,0,0,0,0,0,0,0,0
"15832",0,0,0,0,0,0,0,0,0
"15834",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15840",0,0,0,0,0,0,0,0,0
"15845",0,0,0,0,0,0,0,0,0
"15846",0,0,0,NA,NA,NA,NA,NA,NA
"15848",0,0,0,0,0,0,0,0,0
"15849",0,0,0,0,0,0,0,0,0
"15851",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15853",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15856",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15857",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15860",0,0,0,0,0,0,0,0,0
"15861",0,0,0,0,0,0,0,0,0
"15864",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15865",0,0,0,0,0,0,0,0,0
"15866",0,0,0,0,0,0,0,0,0
"15868",0,0,0,0,0,0,0,0,0
"15870",0,0,0,0,0,0,0,0,0
"15901",0,0,0,0,0,0,0,0,0
"15902",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15904",0,0,0,0,0,0,0,NA,NA
"15905",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15906",0,0,0,0,0,0,0,NA,NA
"15909",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15920",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15923",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15924",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15926",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15927",0,0,0,0,0,0,0,0,0
"15928",0,0,0,0,0,0,0,0,0
"15931",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15934",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15935",0,0,0,0,0,0,0,0,0
"15936",0,0,0,0,0,0,0,0,0
"15938",0,0,0,0,0,0,0,0,0
"15940",0,0,0,0,0,0,0,0,0
"15942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15943",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15944",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15945",0,0,0,0,0,0,0,0,0
"15946",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15949",0,0,0,0,0,0,0,0,0
"15951",0,0,0,0,0,0,0,0,0
"15952",0,0,0,0,0,0,0,0,0
"15953",0,0,0,0,0,0,0,0,0
"15954",0,0,0,0,0,0,0,0,0
"15955",0,0,0,0,0,0,0,0,0
"15956",0,0,0,0,0,0,0,0,0
"15957",0,0,0,0,0,0,0,0,0
"15958",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15960",0,0,0,0,0,0,0,0,0
"15961",0,0,0,0,0,0,0,0,0
"15963",0,0,0,0,0,0,0,0,0
"16001",44,47,47,47,47,48,48,49,49
"16002",9,10,10,10,10,10,10,10,10
"16020",0,0,0,0,0,0,0,0,0
"16022",0,0,0,0,0,0,0,0,0
"16023",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16025",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16027",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16028",0,0,0,0,0,0,0,0,0
"16030",0,0,0,0,0,0,0,0,0
"16033",7,7,7,7,7,7,7,7,7
"16034",0,0,0,0,0,0,0,0,0
"16036",0,0,0,0,0,0,0,0,0
"16037",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16038",0,0,0,0,0,NA,NA,NA,NA
"16040",0,0,0,0,0,0,0,0,0
"16041",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16045",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16046",9,9,9,9,9,9,9,10,11
"16049",NA,NA,NA,NA,NA,7,7,7,8
"16050",0,0,0,0,0,0,0,0,0
"16051",0,0,0,0,NA,NA,NA,NA,NA
"16052",0,0,0,0,0,0,0,0,0
"16053",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16055",12,12,12,13,13,13,13,13,13
"16056",5,5,5,5,5,5,5,5,5
"16057",6,6,6,6,6,6,6,6,6
"16059",7,7,7,7,7,7,7,7,7
"16061",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16063",9,9,9,10,10,10,10,10,10
"16066",24,24,24,24,24,24,24,24,24
"16101",18,18,18,18,19,19,20,20,20
"16102",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16105",11,11,11,11,11,11,11,11,11
"16110",0,0,0,0,0,0,0,0,0
"16111",0,0,0,0,0,0,0,0,0
"16112",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16114",0,0,0,0,0,0,0,0,0
"16115",0,0,0,0,0,0,0,0,0
"16116",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16117",16,16,16,16,16,16,16,17,17
"16120",0,0,0,0,0,0,0,0,0
"16121",6,8,8,8,8,8,8,8,8
"16123",0,0,0,0,0,0,0,0,0
"16124",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16125",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16127",9,9,9,9,9,9,9,9,9
"16130",0,0,0,0,0,0,0,0,0
"16131",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16133",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16134",0,0,0,0,0,0,0,0,0
"16136",0,0,0,0,0,0,0,0,0
"16137",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16141",0,0,0,0,0,0,0,0,0
"16142",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16143",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16145",0,0,0,0,0,0,0,0,0
"16146",14,15,15,15,15,15,15,15,15
"16148",8,8,8,9,9,9,9,9,9
"16150",NA,5,5,5,5,5,5,5,5
"16153",0,0,0,0,0,0,0,0,0
"16154",0,0,0,0,0,0,0,0,0
"16156",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16157",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16159",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16172",0,0,0,0,0,0,0,0,0
"16201",5,5,5,5,5,6,6,6,6
"16210",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16212",0,0,0,0,0,0,0,NA,NA
"16213",0,0,0,0,0,0,0,0,0
"16214",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16217",0,0,0,0,0,0,0,0,0
"16218",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16222",0,0,NA,NA,NA,NA,NA,NA,NA
"16224",0,0,0,0,0,0,0,0,0
"16225",0,0,0,0,0,0,0,0,0
"16226",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16228",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16229",5,5,5,5,5,5,5,5,5
"16232",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16233",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16234",0,0,0,0,0,0,0,0,0
"16235",0,0,0,0,0,0,0,0,0
"16238",0,0,0,0,0,0,0,0,0
"16239",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16240",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16242",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16248",NA,NA,NA,NA,NA,NA,NA,NA,NA
